TEAM,GMS,AVG,PCT
PHI,82,19168,97.5
CHI,82,18953,95.4
DAL,82,19043,100.1
TOR,82,19032,98
MIA,82,18908,97.9
GSW,82,19193,104.2
POR,82,18753,98.2
CLE,82,18490,96.1
NYK,82,18284,94.7
LAL,82,18929,100
BOS,82,18647,98.8
DEN,82,17962,94.1
SAS,82,17844,95.4
UTA,82,17911,96.4
OKC,82,18034,97.3
HOU,82,17989,97.5
MIL,82,17893,98.6
ORL,82,17610,92.8
WAS,82,17498,89
LAC,82,17279,91.5
SAC,82,17148,94.3
IND,82,17377,93.1
CHA,82,17074,89.7
DET,82,17153,85.9
NOP,82,16835,93.3
MEM,82,16604,89.8
ATL,82,16557,87.8
MIN,82,16473,87.1
PHX,82,16638,89.2
BKN,82,16513,89.7
